"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Nov 05 13:49:11 CST 2025","Wed Nov 05 13:49:11 CST 2025","0","test_case.UI.Test_Katana","test_ui","","","","测试执行",""
"broken","Wed Nov 05 13:49:13 CST 2025","Wed Nov 05 13:49:13 CST 2025","0","test_case.UI.Test_Katana","test_ui","","","","测试执行",""
"broken","Wed Nov 05 13:49:12 CST 2025","Wed Nov 05 13:49:12 CST 2025","0","test_case.UI.Test_Katana","test_ui","","","","测试执行",""
