"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 28 09:35:13 CST 2025","Fri Nov 28 09:35:48 CST 2025","35836","test_case.UI.Test_Katana","test_ui","","","","testT3554",""
"passed","Fri Nov 28 09:36:39 CST 2025","Fri Nov 28 09:36:58 CST 2025","19508","test_case.UI.Test_Katana","test_ui","","","","testT855",""
"passed","Fri Nov 28 09:35:48 CST 2025","Fri Nov 28 09:36:32 CST 2025","43061","test_case.UI.Test_Katana","test_ui","","","","testT4264",""
"passed","Fri Nov 28 09:36:58 CST 2025","Fri Nov 28 09:37:29 CST 2025","30730","test_case.UI.Test_Katana","test_ui","","","","testT1747",""
"broken","Fri Nov 28 09:33:40 CST 2025","Fri Nov 28 09:35:12 CST 2025","92372","test_case.UI.Test_Katana","test_ui","","","","testT3370",""
"passed","Fri Nov 28 09:36:32 CST 2025","Fri Nov 28 09:36:39 CST 2025","7007","test_case.UI.Test_Katana","test_ui","","","","testT1993",""
